Speaker,Word,Frequency,Debate
KASICH,rules,1,12_republican_debate.txt
KASICH,talk,5,12_republican_debate.txt
KASICH,welfare,2,12_republican_debate.txt
KASICH,given,1,12_republican_debate.txt
KASICH,save,1,12_republican_debate.txt
KASICH,cyber,3,12_republican_debate.txt
KASICH,taking,1,12_republican_debate.txt
KASICH,clear,1,12_republican_debate.txt
KASICH,else,2,12_republican_debate.txt
KASICH,gone,2,12_republican_debate.txt
KASICH,different,1,12_republican_debate.txt
KASICH,access,1,12_republican_debate.txt
KASICH,compliment,1,12_republican_debate.txt
KASICH,sets,1,12_republican_debate.txt
KASICH,matters,1,12_republican_debate.txt
KASICH,took,2,12_republican_debate.txt
KASICH,permanent,1,12_republican_debate.txt
KASICH,b,1,12_republican_debate.txt
KASICH,attack,1,12_republican_debate.txt
KASICH,laid,1,12_republican_debate.txt
KASICH,actually,3,12_republican_debate.txt
KASICH,awe,1,12_republican_debate.txt
KASICH,stability,1,12_republican_debate.txt
KASICH,real,1,12_republican_debate.txt
KASICH,debt,2,12_republican_debate.txt
KASICH,lot,1,12_republican_debate.txt
KASICH,new,1,12_republican_debate.txt
KASICH,supporters,1,12_republican_debate.txt
KASICH,percent,3,12_republican_debate.txt
KASICH,iron,1,12_republican_debate.txt
KASICH,fighting,1,12_republican_debate.txt
KASICH,violation,2,12_republican_debate.txt
KASICH,undercut,1,12_republican_debate.txt
KASICH,oh,1,12_republican_debate.txt
KASICH,important,2,12_republican_debate.txt
KASICH,employees,1,12_republican_debate.txt
KASICH,combined,1,12_republican_debate.txt
KASICH,israel,2,12_republican_debate.txt
KASICH,rather,1,12_republican_debate.txt
KASICH,obviously,1,12_republican_debate.txt
KASICH,somebody,1,12_republican_debate.txt
KASICH,emissions,1,12_republican_debate.txt
KASICH,missiles,2,12_republican_debate.txt
KASICH,ronald,1,12_republican_debate.txt
KASICH,care,1,12_republican_debate.txt
KASICH,protected,1,12_republican_debate.txt
KASICH,hold,1,12_republican_debate.txt
KASICH,ohio,9,12_republican_debate.txt
KASICH,give,5,12_republican_debate.txt
KASICH,sea,3,12_republican_debate.txt
KASICH,cheat,2,12_republican_debate.txt
KASICH,buy,1,12_republican_debate.txt
KASICH,china,4,12_republican_debate.txt
KASICH,turns,1,12_republican_debate.txt
KASICH,grew,1,12_republican_debate.txt
KASICH,dome,2,12_republican_debate.txt
KASICH,worked,3,12_republican_debate.txt
KASICH,capital,1,12_republican_debate.txt
KASICH,fixed,1,12_republican_debate.txt
KASICH,together,3,12_republican_debate.txt
KASICH,veteran,6,12_republican_debate.txt
KASICH,less,2,12_republican_debate.txt
KASICH,restructured,1,12_republican_debate.txt
KASICH,either,3,12_republican_debate.txt
KASICH,win,2,12_republican_debate.txt
KASICH,know,21,12_republican_debate.txt
KASICH,going,12,12_republican_debate.txt
KASICH,elections,1,12_republican_debate.txt
KASICH,couple,3,12_republican_debate.txt
KASICH,critical,1,12_republican_debate.txt
KASICH,golden,1,12_republican_debate.txt
KASICH,communities,1,12_republican_debate.txt
KASICH,peace,1,12_republican_debate.txt
KASICH,college,4,12_republican_debate.txt
KASICH,come,4,12_republican_debate.txt
KASICH,israelis,4,12_republican_debate.txt
KASICH,even,3,12_republican_debate.txt
KASICH,accounts,1,12_republican_debate.txt
KASICH,served,1,12_republican_debate.txt
KASICH,transfer,1,12_republican_debate.txt
KASICH,things,8,12_republican_debate.txt
KASICH,healthcare,2,12_republican_debate.txt
KASICH,powers,1,12_republican_debate.txt
KASICH,services,2,12_republican_debate.txt
KASICH,plight,1,12_republican_debate.txt
KASICH,saw,1,12_republican_debate.txt
KASICH,record,2,12_republican_debate.txt
KASICH,sure,3,12_republican_debate.txt
KASICH,high,4,12_republican_debate.txt
KASICH,architect,1,12_republican_debate.txt
KASICH,lose,1,12_republican_debate.txt
KASICH,necessarily,1,12_republican_debate.txt
KASICH,says,1,12_republican_debate.txt
KASICH,richard,1,12_republican_debate.txt
KASICH,white,2,12_republican_debate.txt
KASICH,policies,1,12_republican_debate.txt
KASICH,needs,5,12_republican_debate.txt
KASICH,question,1,12_republican_debate.txt
KASICH,authority,1,12_republican_debate.txt
KASICH,advisers,1,12_republican_debate.txt
KASICH,worker,3,12_republican_debate.txt
KASICH,first,5,12_republican_debate.txt
KASICH,isis,1,12_republican_debate.txt
KASICH,children,1,12_republican_debate.txt
KASICH,lost,2,12_republican_debate.txt
KASICH,takes,1,12_republican_debate.txt
KASICH,thing,4,12_republican_debate.txt
KASICH,us,9,12_republican_debate.txt
KASICH,man,2,12_republican_debate.txt
KASICH,tough,1,12_republican_debate.txt
KASICH,congress,2,12_republican_debate.txt
KASICH,poverty,1,12_republican_debate.txt
KASICH,negative,1,12_republican_debate.txt
KASICH,protect,1,12_republican_debate.txt
KASICH,underground,1,12_republican_debate.txt
KASICH,beef,1,12_republican_debate.txt
KASICH,surplus,1,12_republican_debate.txt
KASICH,put,3,12_republican_debate.txt
KASICH,begin,1,12_republican_debate.txt
KASICH,air,1,12_republican_debate.txt
KASICH,nonsense,1,12_republican_debate.txt
KASICH,terrible,1,12_republican_debate.txt
KASICH,ought,8,12_republican_debate.txt
KASICH,illinois,1,12_republican_debate.txt
KASICH,though,1,12_republican_debate.txt
KASICH,ukrainians,1,12_republican_debate.txt
KASICH,reform,2,12_republican_debate.txt
KASICH,balance,1,12_republican_debate.txt
KASICH,develop,2,12_republican_debate.txt
KASICH,homeless,1,12_republican_debate.txt
KASICH,later,1,12_republican_debate.txt
KASICH,bless,1,12_republican_debate.txt
KASICH,work,9,12_republican_debate.txt
KASICH,rests,1,12_republican_debate.txt
KASICH,beat,1,12_republican_debate.txt
KASICH,period,1,12_republican_debate.txt
KASICH,clean,1,12_republican_debate.txt
KASICH,environment,1,12_republican_debate.txt
KASICH,awhile,1,12_republican_debate.txt
KASICH,say,5,12_republican_debate.txt
KASICH,budget,7,12_republican_debate.txt
KASICH,thank,3,12_republican_debate.txt
KASICH,field,1,12_republican_debate.txt
KASICH,issues,2,12_republican_debate.txt
KASICH,position,1,12_republican_debate.txt
KASICH,hamas,1,12_republican_debate.txt
KASICH,command,2,12_republican_debate.txt
KASICH,north,1,12_republican_debate.txt
KASICH,reformed,1,12_republican_debate.txt
